Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/ClosestDistance/74_d13.ecore;3;0;4;3;1;1;1;2.0;3.0;4.0;0.42857143;1.5;4816;
./model/ClosestDistance/75_a0.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;996;
./model/ClosestDistance/76_e5.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;6045;
./model/ClosestDistance/77_e10.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.93675673;188.0;7932;
./model/ClosestDistance/78_c4.ecore;16;0;10;16;12;1;2;8.2;4.0;12.0;0.31707317;-41.0;2756;
./model/ClosestDistance/79_a18.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;2868;
./model/ClosestDistance/7_a12.ecore;20;0;17;20;8;2;4;10.2;11.0;17.0;0.1764706;52.0;778;
./model/ClosestDistance/80_b19.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;50.0;7070;
./model/ClosestDistance/81_d14.ecore;3;0;4;3;0;1;1;1.8;3.0;5.0;0.25;1.5;2707;
./model/ClosestDistance/82_d16.ecore;4;0;3;4;1;1;1;2.0;2.0;3.0;0.44444445;2.0;7913;
./model/ClosestDistance/83_c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;5880;
./model/ClosestDistance/84_a2.ecore;15;0;20;15;9;3;3;10.0;25.0;30.0;0.44186047;40.0;1068;
./model/ClosestDistance/85_e7.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;4744;
./model/ClosestDistance/86_e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;6344;
./model/ClosestDistance/87_e16.ecore;;;78;69;36;13;;;;;;;37631;
./model/ClosestDistance/88_a6.ecore;10;0;14;10;1;3;3;6.2;17.0;20.0;0.42105263;24.0;13834;
./model/ClosestDistance/89_e3.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.93532336;185.0;10199;
./model/ClosestDistance/8_b13.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;524;
./model/ClosestDistance/90_d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;1078;
./model/ClosestDistance/91_c2.ecore;44;0;32;44;41;3;4;24.8;42.0;48.0;0.6985816;112.0;4012;
./model/ClosestDistance/92_c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;2906;
./model/ClosestDistance/94_d10.ecore;17;0;10;17;14;1;2;8.8;4.0;12.0;0.32608697;46.0;15133;
./model/ClosestDistance/95_b9.ecore;16;0;9;16;8;1;1;7.0;4.0;15.0;0.35135135;42.0;14096;
./model/ClosestDistance/96_c19.ecore;45;0;32;45;42;3;4;25.2;42.0;49.0;0.693662;29.113207;5287;
./model/ClosestDistance/97_e14.ecore;38;41;79;79;42;13;4;43.4;629.0;768.0;0.93682504;186.0;9023;
./model/ClosestDistance/98_a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;15586;
./model/ClosestDistance/99_e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;29830;
