Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
OPF31.ecore;18;0;18;18;89;1;1;25.4;1.1666666;19.166666;0.0;Infinity;112379;45482;48529;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;91197;9349;48110;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;361545;0;54755;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;9;0;4;9;5;0;1;3.8;1.0;3.0;0.0;5.5;59843;449;48453;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
org.eclipse.component.ecore;13;0;7;13;14;0;1;7.0;1.0;3.0;0.0;12.0;68317;419;51953;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;98608;3983;49844;
XMA_GUIDesigner.ecore;;;;;;;;;;;;;804176;732693;51276;
bpmn20_ttc.ecore;;;;;;;;;;;;;2066645;2007741;54428;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;108017;12832;51019;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;55956;207;50258;
pom.ecore;57;0;39;57;137;1;3;47.4;1.0256411;28.02564;0.03960396;134.0;562558;78808;51204;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;55065;1087;50946;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;90013;330;51064;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;66525;2436;51914;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;6.0;0.0;16.0;137222;370;51945;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;64631;9533;54032;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;66977;6030;52011;
glucose.ecore;5;2;6;7;36;1;2;10.4;1.5;9.5;0.35820895;15.0;72604;1056;51494;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;55522;474;51968;
SVG.ecore;2;0;85;2;400;10;1;99.6;5.0588236;5.0588236;0.89525795;4.0;2645476;1937851;54499;
banner.ecore;1;0;3;1;6;1;1;2.4;1.3333334;1.3333334;0.125;0.5;95264;169;51114;
fxg.ecore;37;0;52;37;270;4;3;73.2;2.5576923;3.5576923;0.19633508;82.0;718596;586630;50735;
com.ibm.commerce.member.datatypes.ecore;31;0;9;31;33;1;2;15.2;1.2222222;2.2222223;0.0;50.0;70704;0;50571;
activityDiagram.ecore;;;;;;;;;;;;;-1;0;0;
ATL.ecore;;;;;;;;;;;;;-1;0;0;
modellog.ecore;13;0;28;13;27;3;2;14.6;2.7857144;2.7857144;0.5652174;31.0;63882;1214;50635;
swml.ecore;9;0;11;9;11;2;2;7.0;1.5454545;4.5454545;0.375;16.0;106376;309;50901;
com.ibm.commerce.foundation.datatypes.ecore;59;0;32;59;56;1;3;30.2;1.0625;3.0625;0.049586777;25.0;77624;11028;50896;
interfaces.ecore;;;;;;;;;;;;;-1;0;0;
