Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
XMA_GUIDesigner.ecore;;;;;;;;;;;;;570780;503578;23934;
bpmn20_ttc.ecore;;;;;;;;;;;;;1440043;1363846;26863;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;78057;10924;23565;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;42299;200;22148;
pom.ecore;59;0;39;59;137;1;3;47.8;1.0256411;27.02564;0.039215688;137.0;541566;64508;23495;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;74228;1082;23070;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;73613;332;22894;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;82769;2334;23484;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;6.0;0.0;16.0;121264;377;23081;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;34024;9287;23673;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;78596;6182;23967;
glucose.ecore;5;2;6;7;35;1;2;10.2;1.5;9.5;0.34375;15.0;102209;996;23388;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;90841;471;23742;
SVG.ecore;2;0;85;2;399;10;1;99.4;5.0588236;5.0588236;0.89549124;4.0;2734048;2029995;24018;
banner.ecore;1;0;3;1;6;1;1;2.4;1.3333334;1.3333334;0.125;0.5;77246;173;23885;
fxg.ecore;37;0;52;37;268;4;3;72.8;2.5576923;3.5576923;0.19736843;82.0;524915;413968;24889;
com.ibm.commerce.member.datatypes.ecore;29;0;9;29;33;1;2;14.8;1.2222222;1.2222222;0.0;45.0;80303;0;24272;
activityDiagram.ecore;;;;;;;;;;;;;24978;438;24436;
ATL.ecore;;;;;;;;;;;;;78208;52696;25262;
modellog.ecore;13;0;28;13;27;3;2;14.6;2.7857144;2.7857144;0.5652174;31.0;87709;1228;24678;
swml.ecore;9;0;11;9;11;2;2;7.0;1.5454545;4.5454545;0.375;16.0;67228;314;24606;
com.ibm.commerce.foundation.datatypes.ecore;59;0;32;59;56;1;3;30.2;1.0625;3.0625;0.049586777;25.0;102095;10777;25044;
interfaces.ecore;;;;;;;;;;;;;-1;0;0;
