Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
org.eclipse.component.ecore;13;0;7;13;14;0;1;7.0;1.0;3.0;0.0;12.0;48288;407;39890;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;49310;3878;39948;
XMA_GUIDesigner.ecore;;;;;;;;;;;;;600867;555393;43004;
bpmn20_ttc.ecore;;;;;;;;;;;;;1568743;1513058;45705;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;69054;12735;41620;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;50016;202;41405;
pom.ecore;61;0;39;61;137;1;3;48.2;1.0256411;34.025642;0.03883495;148.0;496022;50416;42314;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;46066;1097;41840;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;45200;332;41806;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;58301;2357;41737;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;7.0;0.0;17.0;126347;374;42100;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;51413;7991;42395;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;53938;5336;42339;
glucose.ecore;5;2;6;7;36;1;2;10.4;1.5;9.5;0.35820895;15.0;86058;1025;42158;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;51780;488;42492;
SVG.ecore;2;0;85;2;399;10;1;99.4;5.0588236;5.0588236;0.89549124;4.0;2458354;1776711;42440;
banner.ecore;1;0;3;1;6;1;1;2.4;1.3333334;1.3333334;0.125;0.5;44519;180;41408;
fxg.ecore;37;0;52;37;270;4;3;73.2;2.5576923;3.5576923;0.19633508;82.0;626714;513685;41499;
com.ibm.commerce.member.datatypes.ecore;31;0;9;31;33;1;2;15.2;1.2222222;3.2222223;0.0;51.0;61733;0;41154;
activityDiagram.ecore;;;;;;;;;;;;;-1;0;0;
ATL.ecore;;;;;;;;;;;;;-1;0;0;
modellog.ecore;13;0;28;13;27;3;2;14.6;2.7857144;2.7857144;0.5652174;31.0;49001;1185;41421;
swml.ecore;9;0;11;9;11;2;2;7.0;1.5454545;4.5454545;0.375;16.0;59584;298;41284;
com.ibm.commerce.foundation.datatypes.ecore;59;0;32;59;56;1;3;30.2;1.0625;3.0625;0.049586777;25.0;59701;10782;41830;
interfaces.ecore;;;;;;;;;;;;;-1;0;0;
